UNQ_ID,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,PART_ROLE,AFFILIATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_MR1,Post_MR1,X_MR1,Pre_MR2,Post_MR2,X_MR2,Pre_MR3,Post_MR3,X_MR3,Pre_MR4,Post_MR4,X_MR4,Pre_MR5,Post_MR5,X_MR5,Pre_AT_PT1,Pre_AT_PT2,Pre_AT_PT3,Pre_AT_WT5,Pre_AT_CT1,Pre_AT_CT2,Pre_AT_CT3,Pre_AT_CT4,Pre_AT_LA1,Pre_AT_LA2,Pre_AT_LA3,Pre_AT_SC6,Pre_ST_SD1,Pre_ST_SD2,Pre_ST_SD3,Pre_ST_SD4,Pre_NCSS_P2,Pre_AT_WT2,Pre_AT_WT3,Pre_AT_WT4,Pre_AT_LA4,Pre_AT_WT1,Pre_AT_CT5,Pre_AT_LA5,Pre_AT_SC2,Pre_ST_SD5,Pre_ST_SR2,Pre_ST_SR1,Pre_ST_SR3,Pre_ST_SR4,Pre_ST_SR5,Pre_NCSS_P1,Pre_NCSS_P3,Pre_NCSS_P4,Pre_NCSS_P5,Pre_AT_SC1,Pre_AT_SC3,Pre_AT_SC4,Pre_AT_SC5,Post_AT_PT1,Post_AT_PT2,Post_AT_PT3,Post_AT_WT5,Post_AT_CT1,Post_AT_CT2,Post_AT_CT3,Post_AT_CT4,Post_AT_LA1,Post_AT_LA2,Post_AT_LA3,Post_ST_SD1,Post_ST_SD2,Post_ST_SD3,Post_ST_SD4,Post_AT_SC6,Post_NCSS_P2,Post_AT_WT2,Post_AT_WT3,Post_AT_WT4,Post_AT_LA4,Post_AT_WT1,Post_AT_CT5,Post_AT_LA5,Post_AT_SC2,Post_ST_SD5,Post_ST_SR2,Post_ST_SR1,Post_ST_SR3,Post_ST_SR4,Post_ST_SR5,Post_NCSS_P1,Post_NCSS_P3,Post_NCSS_P4,Post_NCSS_P5,Post_AT_SC1,Post_AT_SC3,Post_AT_SC4,Post_AT_SC5
F2412C99,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,8,Social Media Personality,RP Alumnus,5,5,5,4.375,3.875,-0.5,2.8,2.6,-0.2,4.7,4.7,0,5,4.25,-0.75,2.5,2.75,0.25,5,5,5,1,3,5,5,1,5,5,5,5,5,5,5,5,3,2,3,1,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,1,1,3,5,5,5,5,3,3,2,5,1,2,5,4,4,5,5,3,5,4,1,4,1,3,5,4,5,5,4,5,5,5,5,4,5,2,5,5,1,2,5,3
52BDDA4D,18-24 years old,Female,Yes,Classmate,No,8 University Degree,10. C2C Social Media Feature,10,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,3.4375,3.1875,-0.25,2.2,2.8,0.6,3.9,4.3,0.4,4.5,4.25,-0.25,2.25,3.25,1,5,3,4,3,2,2,5,2,3,3,3,5,4,4,4,3,1,2,3,2,3,4,4,3,4,4,4,5,4,4,3,5,4,4,5,1,3,2,3,2,4,2,4,1,3,5,5,3,4,2,2,3,3,3,5,4,1,4,1,4,5,5,5,5,3,5,3,4,4,4,5,4,4,4,4,4,2,3
40D91B58,18-24 years old,Male,Yes,Friend,Yes,7 Polytechnic,10. C2C Social Media Feature,4,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.5625,3.6875,-0.875,2.8,2.8,0,4.4,4.5,0.1,4,4,0,4.5,4.75,0.25,4,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,1,2,4,3,4,4,5,5,5,1,5,5,5,5,4,5,2,4,5,5,5,5,3,4,4,4,3,4,3,5,4,4,2,2,4,4,4,3,5,3,2,3,4,2,5,4,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,4
04A01F57,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,8,Social Media Personality,Non RP Staff Student or Alumnus,3,4,4,3.4375,3.875,0.4375,2.2,2.6,0.4,3.9,4.5,0.6,4.5,4.25,-0.25,2.25,4.25,2,5,3,4,3,2,2,5,2,3,3,3,5,4,4,4,3,1,2,3,2,3,4,4,3,4,4,4,5,4,4,3,5,4,4,5,1,3,2,3,5,5,5,1,5,5,2,2,4,1,2,5,5,5,5,5,1,1,5,3,3,5,4,4,5,5,5,5,4,4,4,4,4,4,5,3,5,5,4
4B1997A3,18-24 years old,Female,Yes,Friend,No,8 University Degree,10. C2C Social Media Feature,9,Social Media Personality,RP Alumnus,5,5,5,4.5625,4.3125,-0.25,3.8,3.6,-0.2,4.6,4.4,-0.2,5,4,-1,3.5,5,1.5,5,5,5,3,5,5,5,4,4,4,4,5,5,5,5,4,5,5,2,3,4,3,5,5,5,5,5,5,5,4,4,5,5,5,5,1,5,3,5,5,4,5,5,5,5,5,4,4,4,2,5,4,5,2,5,5,4,2,3,4,4,4,4,5,4,5,5,4,4,5,4,4,4,4,5,5,5,5
D7151627,18-24 years old,Female,Yes,Friend,No,8 University Degree,10. C2C Social Media Feature,9,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.25,4.4375,0.1875,3.4,3.2,-0.2,4.9,4.6,-0.3,5,4.5,-0.5,3.25,3.75,0.5,5,5,5,3,3,3,5,2,2,5,5,5,5,5,5,5,3,4,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,4,5,5,3,5,5,5,5,3,3,4,5,5,5,4,5,5,5,2,3,1,3,5,5,5,4,5,5,5,5,4,5,3,5,5,2,5,4,4
E1B9A47D,25-34 years old,Female,No,Not Applicable,No,8 University Degree,10. C2C Social Media Feature,8,Social Media Personality,RP Alumnus,5,5,5,3.4375,3.1875,-0.25,2.2,2.8,0.6,3.9,4.3,0.4,4.5,4.25,-0.25,2.25,3.25,1,5,3,4,3,2,2,5,2,3,3,3,5,4,4,4,3,1,2,3,2,3,4,4,3,4,4,4,5,4,4,3,5,4,4,5,1,3,2,3,2,4,2,4,1,3,5,5,3,4,2,2,3,3,3,5,4,1,4,1,4,5,5,5,5,3,5,3,4,4,4,5,4,4,4,4,4,2,3
BB8CFD13,25-34 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,4,Social Media Personality,RP Alumnus,5,5,5,4.25,4.4375,0.1875,3.4,3.2,-0.2,4.9,4.6,-0.3,5,4.5,-0.5,3.25,3.75,0.5,5,5,5,3,3,3,5,2,2,5,5,5,5,5,5,5,3,4,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,4,5,5,3,5,5,5,5,3,3,4,5,5,5,4,5,5,5,2,3,1,3,5,5,5,4,5,5,5,5,4,5,3,5,5,2,5,4,4
B340DA66,25-34 years old,Female,Yes,Friend,No,8 University Degree,10. C2C Social Media Feature,4,Social Media Personality,Non RP Staff Student or Alumnus,4,4,4,4.5625,3.8125,-0.75,2.8,2.2,-0.6,4.4,4.6,0.2,4,4.5,0.5,4.5,3.25,-1.25,4,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,1,2,4,3,4,4,5,5,5,1,5,5,5,5,4,5,2,4,5,5,5,5,3,3,5,5,3,3,5,5,3,5,3,2,5,5,2,2,5,2,3,3,1,2,4,4,5,5,5,5,5,5,5,3,3,5,5,5,3,2,3,5
5854C51C,25-34 years old,Female,Yes,Friend,No,8 University Degree,10. C2C Social Media Feature,9,Social Media Personality,RP Alumnus,5,5,5,4.5625,3.6875,-0.875,2.8,2.8,0,4.4,4.5,0.1,4,4,0,4.5,4.75,0.25,4,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,1,2,4,3,4,4,5,5,5,1,5,5,5,5,4,5,2,4,5,5,5,5,3,4,4,4,3,4,3,5,4,4,2,2,4,4,4,3,5,3,2,3,4,2,5,4,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,4
D0E5AF94,25-34 years old,Female,No,Not Applicable,No,8 University Degree,10. C2C Social Media Feature,9,Social Media Personality,RP Alumnus,5,5,5,4.25,4.1875,-0.0625,3.4,2.6,-0.8,4.9,4.5,-0.4,5,4.75,-0.25,3.25,4.5,1.25,5,5,5,3,3,3,5,2,2,5,5,5,5,5,5,5,3,4,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,5,5,5,4,2,3,5,2,4,2,5,5,5,5,5,5,2,1,4,1,5,5,3,5,3,5,5,5,5,5,4,5,4,5,5,5,5,4,4
060A992D,25-34 years old,Female,Yes,Friend,Yes,8 University Degree,10. C2C Social Media Feature,9,Social Media Personality,RP Alumnus,5,5,5,4.375,3.875,-0.5,2.8,2.6,-0.2,4.7,4.7,0,5,4.25,-0.75,2.5,2.75,0.25,5,5,5,1,3,5,5,1,5,5,5,5,5,5,5,5,3,2,3,1,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,1,1,3,5,5,5,5,3,3,2,5,1,2,5,4,4,5,5,3,5,4,1,4,1,3,5,4,5,5,4,5,5,5,5,4,5,2,5,5,1,2,5,3
4C385E91,25-34 years old,Female,No,Not Applicable,No,8 University Degree,10. C2C Social Media Feature,9,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.375,3.875,-0.5,2.8,2.6,-0.2,4.7,4.7,0,5,4.25,-0.75,2.5,2.75,0.25,5,5,5,1,3,5,5,1,5,5,5,5,5,5,5,5,3,2,3,1,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,1,1,3,5,5,5,5,3,3,2,5,1,2,5,4,4,5,5,3,5,4,1,4,1,3,5,4,5,5,4,5,5,5,5,4,5,2,5,5,1,2,5,3
6F4D0D43,25-34 years old,Female,Yes,Family Member,No,8 University Degree,10. C2C Social Media Feature,8,Social Media Personality,RP Staff,5,5,5,4.5625,4.1875,-0.375,3.8,3.2,-0.6,4.6,4.9,0.3,5,5,0,3.5,3.25,-0.25,5,5,5,3,5,5,5,4,4,4,4,5,5,5,5,4,5,5,2,3,4,3,5,5,5,5,5,5,5,4,4,5,5,5,5,1,5,3,5,5,5,5,3,5,3,5,2,3,3,3,5,5,5,5,5,4,3,3,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,2
E13B4660,25-34 years old,Female,No,Friend,No,8 University Degree,10. C2C Social Media Feature,8,Social Media Personality,RP Alumnus,5,5,5,4.5625,3.8125,-0.75,2.8,2.2,-0.6,4.4,4.6,0.2,4,4.5,0.5,4.5,3.25,-1.25,4,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,1,2,4,3,4,4,5,5,5,1,5,5,5,5,4,5,2,4,5,5,5,5,3,3,5,5,3,3,5,5,3,5,3,2,5,5,2,2,5,2,3,3,1,2,4,4,5,5,5,5,5,5,5,3,3,5,5,5,3,2,3,5
87E3E135,25-34 years old,Male,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,10,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.5625,4.1875,-0.375,3.8,3.2,-0.6,4.6,4.9,0.3,5,5,0,3.5,3.25,-0.25,5,5,5,3,5,5,5,4,4,4,4,5,5,5,5,4,5,5,2,3,4,3,5,5,5,5,5,5,5,4,4,5,5,5,5,1,5,3,5,5,5,5,3,5,3,5,2,3,3,3,5,5,5,5,5,4,3,3,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,2
F942CF33,25-34 years old,Female,Yes,Friend,No,8 University Degree,10. C2C Social Media Feature,9,Social Media Personality,RP Alumnus,5,5,5,4.875,4.75,-0.125,4.2,2.4,-1.8,5,4.7,-0.3,5,3.75,-1.25,5,4.5,-0.5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,3,3,1,3,2,5,4,5,5,4,5,5,5,5,4,4,3,4,4,5,5,5,3
311C8F03,25-34 years old,Female,Yes,Family Member,Yes,8 University Degree,10. C2C Social Media Feature,9,Social Media Personality,RP Alumnus,3,4,4,4.5625,3.8125,-0.75,2.8,2.2,-0.6,4.4,4.6,0.2,4,4.5,0.5,4.5,3.25,-1.25,4,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,1,2,4,3,4,4,5,5,5,1,5,5,5,5,4,5,2,4,5,5,5,5,3,3,5,5,3,3,5,5,3,5,3,2,5,5,2,2,5,2,3,3,1,2,4,4,5,5,5,5,5,5,5,3,3,5,5,5,3,2,3,5
F6043069,25-34 years old,Female,Yes,Friend,No,9 Postgraduate Degree,10. C2C Social Media Feature,9,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.375,4.5,0.125,2.8,3.8,1,4.7,4.4,-0.3,5,4,-1,2.5,5,2.5,5,5,5,1,3,5,5,1,5,5,5,5,5,5,5,5,3,2,3,1,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,1,1,3,5,5,5,5,4,3,5,5,4,5,4,3,5,5,5,4,5,5,3,3,3,5,5,4,5,5,1,5,5,5,5,4,3,4,4,5,5,5,5,5
46041B9C,25-34 years old,Female,Yes,Friend,No,9 Postgraduate Degree,10. C2C Social Media Feature,9,Social Media Personality,RP Alumnus,5,5,5,4.25,4.1875,-0.0625,3.4,2.6,-0.8,4.9,4.5,-0.4,5,4.75,-0.25,3.25,4.5,1.25,5,5,5,3,3,3,5,2,2,5,5,5,5,5,5,5,3,4,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,5,5,5,4,2,3,5,2,4,2,5,5,5,5,5,5,2,1,4,1,5,5,3,5,3,5,5,5,5,5,4,5,4,5,5,5,5,4,4
72DBA5BA,35-44 years old,Female,No,Not Applicable,No,8 University Degree,10. C2C Social Media Feature,9,Social Media Personality,RP Staff,5,5,5,4.25,3,-1.25,3.4,2.8,-0.6,4.9,3.1,-1.8,5,3.75,-1.25,3.25,3,-0.25,5,5,5,3,3,3,5,2,2,5,5,5,5,5,5,5,3,4,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3
46CAD5EC,35-44 years old,Male,Yes,Friend,No,9 Postgraduate Degree,10. C2C Social Media Feature,5,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.375,4.5,0.125,2.8,3.8,1,4.7,4.4,-0.3,5,4,-1,2.5,5,2.5,5,5,5,1,3,5,5,1,5,5,5,5,5,5,5,5,3,2,3,1,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,1,1,3,5,5,5,5,4,3,5,5,4,5,4,3,5,5,5,4,5,5,3,3,3,5,5,4,5,5,1,5,5,5,5,4,3,4,4,5,5,5,5,5
A9C7E9F5,35-44 years old,Male,No,Not Applicable,Yes,9 Postgraduate Degree,10. C2C Social Media Feature,3,Social Media Personality,RP Alumnus,5,5,5,4.25,3,-1.25,3.4,2.8,-0.6,4.9,3.1,-1.8,5,3.75,-1.25,3.25,3,-0.25,5,5,5,3,3,3,5,2,2,5,5,5,5,5,5,5,3,4,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3
B63601EE,35-44 years old,Female,Yes,Friend,Yes,9 Postgraduate Degree,10. C2C Social Media Feature,9,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,3.4375,3.1875,-0.25,2.2,2.8,0.6,3.9,4.3,0.4,4.5,4.25,-0.25,2.25,3.25,1,5,3,4,3,2,2,5,2,3,3,3,5,4,4,4,3,1,2,3,2,3,4,4,3,4,4,4,5,4,4,3,5,4,4,5,1,3,2,3,2,4,2,4,1,3,5,5,3,4,2,2,3,3,3,5,4,1,4,1,4,5,5,5,5,3,5,3,4,4,4,5,4,4,4,4,4,2,3
23220AF7,35-44 years old,Male,Yes,Friend,Yes,9 Postgraduate Degree,10. C2C Social Media Feature,5,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.25,4.1875,-0.0625,3.4,2.6,-0.8,4.9,4.5,-0.4,5,4.75,-0.25,3.25,4.5,1.25,5,5,5,3,3,3,5,2,2,5,5,5,5,5,5,5,3,4,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,5,5,5,4,2,3,5,2,4,2,5,5,5,5,5,5,2,1,4,1,5,5,3,5,3,5,5,5,5,5,4,5,4,5,5,5,5,4,4
F1CE9B6D,35-44 years old,Female,No,Not Applicable,No,9 Postgraduate Degree,10. C2C Social Media Feature,4,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.25,3,-1.25,3.4,2.8,-0.6,4.9,3.1,-1.8,5,3.75,-1.25,3.25,3,-0.25,5,5,5,3,3,3,5,2,2,5,5,5,5,5,5,5,3,4,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3
57F5EAD5,45-54 years old,Male,No,Not Applicable,No,9 Postgraduate Degree,10. C2C Social Media Feature,4,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.875,4.4375,-0.4375,4.2,3.2,-1,5,4.6,-0.4,5,4.5,-0.5,5,3.75,-1.25,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,3,3,4,5,5,5,4,5,5,5,2,3,1,3,5,5,5,4,5,5,5,5,4,5,3,5,5,2,5,4,4
CCBBAA6B,55-64 years old,Male,Yes,Friend,No,9 Postgraduate Degree,10. C2C Social Media Feature,9,Social Media Personality,Non RP Staff Student or Alumnus,4,4,3,3.4375,3.875,0.4375,2.2,2.6,0.4,3.9,4.5,0.6,4.5,4.25,-0.25,2.25,4.25,2,5,3,4,3,2,2,5,2,3,3,3,5,4,4,4,3,1,2,3,2,3,4,4,3,4,4,4,5,4,4,3,5,4,4,5,1,3,2,3,5,5,5,1,5,5,2,2,4,1,2,5,5,5,5,5,1,1,5,3,3,5,4,4,5,5,5,5,4,4,4,4,4,4,5,3,5,5,4
98510381,18-24 years old,Male,No,Not Applicable,No,7 Polytechnic,11. Off Centre Watch Party & Aftershow,10,Participant - Off Centre,Non RP Staff Student or Alumnus,3.5,0.5,2,1.4375,1.375,-0.0625,2.2,2,-0.2,1.6,1.3,-0.3,1.5,1.5,0,2.25,2.5,0.25,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,3,1,3,1,4,2,2,1,1,1,1,1,3,2,2,2,2,1,2,1,1,1,3,4,1,1,1,3,1,2,1,1,2,1,1,1,1,1,3,1,1,3,2,2,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,4,4
2129D9A2,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,11. Off Centre Watch Party & Aftershow,10,Participant - Off Centre,Non RP Staff Student or Alumnus,3,3,3.5,2,2,0,2.8,2.8,0,3.3,3.3,0,2.5,2.5,0,2.25,2.25,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,5,4,4,2,4,4,2,2,3,3,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,5,4,4,2,4,4,2,2,3,3,4,2,2,2,2,2,2,3
